Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
6,860000;8,918553;0,063878;0,000000;3,183303
6,880000;8,945175;0,064069;0,000000;3,192805
6,900000;8,971798;0,064260;0,000000;3,202307
6,920000;8,998420;0,064450;0,000000;3,211810
6,940000;9,025043;0,064641;0,000000;3,221312
6,960000;9,051665;0,064832;0,000000;3,230815
6,980000;9,078288;0,065022;0,000000;3,240317
7,000000;9,104911;0,065213;0,000000;3,249819
7,020000;9,131533;0,065404;0,000000;3,259322
7,040000;9,158156;0,065594;0,000000;3,268824
7,060000;9,184778;0,065785;0,000000;3,278327
7,080000;9,211401;0,065976;0,000000;3,287829
7,100000;9,238023;0,066166;0,000000;3,297331
7,120000;9,264646;0,066357;0,000000;3,306834
7,140000;9,291268;0,066548;0,000000;3,316336
7,160000;9,317891;0,066738;0,000000;3,325839
7,180000;9,344513;0,066929;0,000000;3,335341
7,200000;9,371136;0,067120;0,000000;3,344843
7,220000;9,397759;0,067310;0,000000;3,354346
7,240000;9,424381;0,067501;0,000000;3,363848
7,260000;9,451004;0,067692;0,000000;3,373350
7,280000;9,477626;0,067882;0,000000;3,382853
7,300000;9,504249;0,068073;0,000000;3,392355
7,320000;9,530871;0,068264;0,000000;3,401858
7,340000;9,557494;0,068454;0,000000;3,411360
7,360000;9,584116;0,068645;0,000000;3,420862
7,380000;9,610739;0,068836;0,000000;3,430365
7,400000;9,637361;0,069027;0,000000;3,439867
7,420000;9,663984;0,069217;0,000000;3,449370
7,440000;9,690607;0,069408;0,000000;3,458872
7,460000;9,717229;0,069599;0,000000;3,468374
7,480000;9,743852;0,069789;0,000000;3,477877
7,500000;9,770474;0,069980;0,000000;3,487379
7,520000;9,797097;0,070171;0,000000;3,496882
7,540000;9,823719;0,070361;0,000000;3,506384
7,560000;9,850342;0,070552;0,000000;3,515886
7,580000;9,876964;0,070743;0,000000;3,525389
7,600000;9,903587;0,070933;0,000000;3,534891
7,620000;9,930209;0,071124;0,000000;3,544394
7,640000;9,956832;0,071315;0,000000;3,553896
7,660000;9,983455;0,071505;0,000000;3,563398
7,680000;10,010077;0,071696;0,000000;3,572901
7,700000;10,036700;0,071887;0,000000;3,582403
7,720000;10,063322;0,072077;0,000000;3,591906
7,740000;10,089945;0,072268;0,000000;3,601408
7,760000;10,116567;0,072459;0,000000;3,610910
7,780000;10,143190;0,072649;0,000000;3,620413
7,800000;10,169812;0,072840;0,000000;3,629915
7,820000;10,196435;0,073031;0,000000;3,639418
7,840000;10,223057;0,073222;0,000000;3,648920
7,860000;10,249680;0,073412;0,000000;3,658422
7,880000;10,276303;0,073603;0,000000;3,667925
7,900000;10,302925;0,073794;0,000000;3,677427
7,920000;10,329548;0,073984;0,000000;3,686930
7,940000;10,356170;0,074175;0,000000;3,696432
7,960000;10,382793;0,074366;0,000000;3,705934
7,980000;10,409415;0,074556;0,000000;3,715437
8,000000;10,436038;0,074747;0,000000;3,724939
8,020000;10,462660;0,074938;0,000000;3,734442
8,040000;10,489283;0,075128;0,000000;3,743944
8,060000;10,515905;0,075319;0,000000;3,753446
8,080000;10,542528;0,075510;0,000000;3,762949
8,100000;10,569151;0,075700;0,000000;3,772451
8,120000;10,595773;0,075891;0,000000;3,781954
8,140000;10,622396;0,076082;0,000000;3,791456
8,160000;10,649018;0,076272;0,000000;3,800958
8,180000;10,675641;0,076463;0,000000;3,810461
8,200000;10,702263;0,076654;0,000000;3,819963
8,220000;10,728886;0,076844;0,000000;3,829465
8,240000;10,755508;0,077035;0,000000;3,838968
8,260000;10,782131;0,077226;0,000000;3,848470
8,280000;10,808753;0,077416;0,000000;3,857973
8,300000;10,835376;0,077607;0,000000;3,867475
8,320000;10,861999;0,077798;0,000000;3,876977
8,340000;10,888621;0,077989;0,000000;3,886480
8,360000;10,915244;0,078179;0,000000;3,895982
8,380000;10,941866;0,078370;0,000000;3,905485
8,400000;10,968489;0,078561;0,000000;3,914987
